这年头，念个ppt仗着名校的威风都能评“国家精品”，这是对我国实力的嘲讽吗？,2.0
默默把所有说对书读照本宣科·的都赞了,2.0
等了好久终于等到同济开课，没想到只是照本宣读，没意思。失望,1.0
我们需要个读教材和PPT的视频吗？,1.0
对我的帮助很大！尽管我的数学基础很差，但依旧可以跟上课程，并在我们学校的期末考试中取得了高数92分的成绩。,5.0
完全就是照着书上念一遍，有什么意思，我还不如去看书，慕课本来就是来解决老师照着PPT念的问题，想要深入的学习，结果就是这样，切。,1.0
伸手党免费听课还要说些难听话，也是道德败坏了。,5.0
老师的口音太严重，基本听不懂在说什么,1.0
照本宣科，对着PPT读。,1.0
我操特么讲的太次了 坚持听到洛必达法则我也是真强了 能不能换个能讲的通俗易懂点的老师！？我真是服服的了！！！听完她讲课我真是杀人的冲动都有了！！！,1.0
完全是在照课本念一遍，推荐去看，西安交通大学的高数。讲得还不错。,2.0
"有些同学这个态度就不太对，难道老师不应该照书讲吗？自己不认真听讲，却说老师照本宣科，岂不让人笑话。
我认为，老师讲的很棒，对我帮助很大！只要你认真听课，适当练习，一定会达到自己期望的目标的。
祝所有同学都能学好高数！！！
",5.0
我觉得老师只是讲知识点，这样让人理解不能够透彻。最好是多举例子，代表性的实例更加通俗易懂。只照书讲容易感到无趣,2.0
电子版照本宣科,2.0
你课后的测试题一堆错误，自己编的吧，连解析都没有,1.0
失望，不知道高分评价从哪来的,1.0
这课程是怎么成为国家精品的？,1.0
课本内容重读,1.0
精讲多练的风格，但课后习题没有详细的答案。。。,4.0
理解口音比理解知识点还难,2.0
课程基本都是书本概念，根本不讲解具体问题的求法,1.0
总体来说有点失望，不太推荐同学来听这门课，感觉完全配不上国家精品这四个字，这完全读ppt吧，隔壁国防科技大学的高等数学和浙江大学的微积分完爆这门课好吧。这老师真应该去看看朱建民和苏德矿老师是怎么上课的。,3.0
"【1】课程难度不大，高中毕业直接可学；测试题目难度不大，且没有解释。学习前应具备一定初等数学知识，主要用到函数知识，如反函数、导数、单调性、极值。
【2】视频教程大概是“公式/定理推导证明加例题解析”的模式，课件有视频内容，所以可以不看教材自学（课程并不深入）；老师的口音有点特别，视频无字幕。
【3】老师很积极在讨论区解决问题，接近有问必答，有时会写出过程拍照上传，有时只是提点一下。可问测试内或课程外的题目，提问时须将题目全文写出/截图/拍摄。
【4】视频教程数量、音量、时长合适，时间充裕，教程出完后约一个月才截止考试，即便赶不上进度或者稍迟加入课程也不必慌。",5.0
老师普通话太不好，难道学校招聘老师不用考核普通话吗？？？？普通话不好学生听课会特别特别难受。,1.0
我觉得特别好啊~老师上课的内容很经典，引入很到位，很喜欢了，值得看,5.0
讲的很表层，看视频对练习没多大帮助,1.0
照着念的啊。。。讲了个啥啊,3.0
念教材的版本,2.0
国家精品竟然是照着课本念，我还是去看汤神的视频吧。,2.0
"应用性强一点呗 
我也会看PPT",1.0
题目非常简单，并且存在题目叙述不清楚的问题如第一题未说明n大于零,1.0
没有用，很失望，,1.0
想对那些不知道自己几分几两还要求高的他爹都做不到的同学说声，不想听就滚！！,5.0
老师的发音影响我专注听课。,1.0
"希望老师能够把每讲测验的讨论单独列出来,这样会更加方便大家学习.
另外老师们能否公布下自己的常用邮箱啊?",5.0
我会点赞一些让mooc尴尬的评论,5.0
"域（yu）读yue？
1读ye？

这种普通话还来当老师？",2.0
"对着ppt说也就呵呵了
",1.0
读ppt很好玩吗？骗人骗己而已。,1.0
能不能给个解析,1.0
差差差差差,1.0
 怎麽说，失望,1.0
怎么听这门课的下册？,5.0
听君一席话，胜读十年书,5.0
差，就是照着ppt念，你问我为什么差评？明明都是白嫖，我告诉你，她顶着同济大学的名头这样给人上课？有口音就算了，讲述什么啊？而且我就事论事，她的教学水平就是低，有问题吗？我遇到的大多老师都比她好。,1.0
老师的口音真是听的难受，觉得西安交大课程讲的的更好。,5.0
细节讲的很到位，而且对每个定理都由浅入深的阐述与应用，对我零基础考研来讲，帮助很大，超级赞的平台，超级赞的老师！！！,5.0
感觉似懂非懂,2.0
很棒，感觉补考稳了,5.0
念PPT？？？？,1.0
"这讲的也太好了吧...(｡•ˇ‸ˇ•/不说了，让我想想，是哪个龟儿子推荐的app,我请她喝敌敌畏，喝大瓶的，也不知道俩瓶够不够。",5.0
"刷五星的都是水军吧～
完全念PPT～念书～我看着视频干啥～",1.0
垃圾的一批，照着课件读,1.0
几乎完全就是照着ppt念。。。,1.0
啥也不是，能给0颗星么？？,1.0
念Ppt和课本。。。如果这样教学的话 我何不自己在图书馆看书就好,1.0
证明完全没有，全是照讲，表示没有某211老师讲的仔细,1.0
这就照本宣科还国家精品佛了,1.0
和我想象的不一样，这就是课本上的，我希望老师能多讲课本之外扩展的，更有价值的,3.0
请问考研党适合吗？数三～,5.0
我听完了，哈哈哈，老师挺好的,5.0
我听了几个讲高数的，特别是评价分很高的，最后还是选择了听这里的，语音清晰，讲的很细，PPT做的太好，这样让你感觉看PPT也能看懂。有些伸手党就喜欢那些会侃大山的讲课，好好讲课反倒不爱听，这些可怜的人啊，喜欢的都是什么乱七八糟的东西，脑子里都装着什么乱七八糟的东西，正像有人说这些可怜的人真是道德败坏了，真应该好好反省自己了。这些可怜的人在这里写了些乱七八糟的东西，还好，我没有相信这些人，因为我知道什么事情要自己辨别，不能听他人说。群众的眼睛好多时候是看不清东西的，群众的眼睛好多时候是黑暗的，真理在很少人的手里，这也和股票差不多，大多数人都是亏钱的。评价分高未必就说明怎么好，评价分低也不见得不好。,5.0
很好的一门高数课程，老师们普通话标准，逻辑严密，还有电脑上的高清图能让学生很直观地了解高数。让我觉得网课也可以很有收获，电脑也可以是学习的用具，,4.0
测试难度适中且全面，能够知道自己的不足。课讲的都是重点,4.0
没水平，照着ppt念,2.0
适合课前预习 课程比较短 不推荐作为重点学习,3.0
我听完还是没有明白啊,4.0
大家都是成年人了，咱做事不带这样的 照着念 可能是我不太适应吧 我还是做题吧 个人觉得题的解答很好,1.0
完全听不懂,3.0
希望再详细一点,4.0
感觉挺好，就是希望在讲到定义时，能多举一些例子。很感谢,4.0
同济学子十分收益,5.0
作为一个初一学生，还是能听懂，希望拿到证书,5.0
很全面的学习,5.0
老师，答案能不能详细点,4.0
准大一新生期待,4.0
同济大学高等数学教学视频很不错，下期我还会来,5.0
"其实用点心学高数并不难，把握方法就很简单
",5.0
很不错，巩固基础,5.0
挺好 拯救数学,5.0
很不错，但感觉知识点不太完整,5.0
简单易懂。超棒,5.0
学的很好，学会了很多 ,5.0
"详实，优秀！
 ",5.0
课程设置很棒，谢谢你们提供这么好的资源,4.0
数学的内容挺好的，比较基础，但是希望改进两点，第一，课程和课后练习应该有所连接，第二，上课可是太短，老师讲解的没有太仔细,2.0
很好很棒啊,5.0
对于毕业多年的我来说，感谢老师的精彩免费课程，帮助我学习。,5.0
非常好！老师讲的很细！,5.0
课程内容应该更多一点,4.0
66666,5.0
给1星的原因是不能给0星，我们用的就是同济的课本，现在还要照着课本提炼成pPT然后照着读一遍吗？虽然是免费，但是不屑于做慕课可以不做，宁缺毋滥。,1.0
好非常好好,5.0
landehen,4.0
为我学习之后的高等数学打下了基础,5.0
认真仔细简单易懂,5.0
老师讲的很棒,5.0
laoshijiangdefeichangh ,5.0
真的很好哦,5.0
可以把自己的闲暇时间用上学习，很赞,4.0
讲的真好。,5.0
撒旦估计快了,5.0
照本念经。,2.0
不能取消自动播放,1.0
